,price,first_name,last_name,price_more_than_100
0,258.1809089,William,Garcia,True
1,141.890534,Barbara,Freeman,True
2,293.37327200000004,Rebecca,Zimmerman,True
3,249.9479246,Patricia,Velasquez,True
4,272.908659,Ronnie,Clark,True
5,65.74326968,Timothy,Rose,False
6,64.54997394,Joshua,Ramirez,False
7,111.01713840000001,Joseph,Dawson,True
8,87.31797988,Robert,Rios,False
9,277.2511543,Karen,Mitchell,True
10,7.259436115,Patrick,Greene,False
11,295.31468870000003,Matthew,Nelson,True
12,70.04282129,Melissa,Smith,False
13,78.26892103,Amy,Johnson,False
14,208.6777041,Edgar,Ellis,True
15,104.80949509999999,Olivia,Rivera,True
16,40.20849552,Kelly,Leblanc MD,False
17,17.90633335,Jennifer,Anderson,False
18,125.06722169999999,Tammy,Clark,True
19,21.63604687,Jennifer,Marquez,False
20,36.24541189,Cory,Silva,False
21,264.9268902,Mackenzie,Moon,True
22,126.3049676,Larry,Wade,True
23,37.50406255,Diana,Shaffer,False
24,168.1895294,Stephen,Smith,True
25,265.1085587,Kendra,White,True
26,280.3953974,Lindsey,Williamson,True
27,106.0997985,Wanda,Hale,True
28,10.64366962,Jillian,Davies DDS,False
29,119.03826070000001,Douglas,Thomas,True
30,153.05265380000003,Jennifer,Davis,True
31,44.38614111,George,Holmes,False
32,105.43782409999999,Marissa,Webster,True
33,80.47552199,Anna,Boyle,False
34,174.6815735,Paul,Gillespie,True
35,132.78034399999999,Autumn,Johnston,True
36,118.0225331,Tracey,Norton DDS,True
37,128.67397979999998,Amy,Flynn,True
38,72.58977535,Melissa,Davis,False
39,78.43990466,Vincent,Mitchell,False
40,144.6915752,Gregory,Martin,True
41,117.32056329999999,Robert,Coffey Jr.,True
42,101.48455340000001,Melissa,Montgomery,True
43,296.536062,Krystal,Cunningham,True
44,163.48785080000002,Scott,Lee,True
45,28.59025756,James,Murray,False
46,3.582742282,Hunter,Stokes,False
47,33.90382995,Jasmine,Austin,False
48,51.78034157,Grant,Summers,False
49,271.60236760000004,Sarah,Spencer DDS,True
50,192.617676,Brianna,Lewis,True
51,145.6455553,Mrs.,Rhonda Martin DVM,True
52,161.3584294,Dennis,Lawrence Jr.,True
53,245.44009869999996,Michael,Stewart,True
54,22.90555849,William,Wilkins,False
55,142.59073700000002,Rebecca,Jimenez,True
56,15.10135967,Kathleen,Roman,False
57,22.53181535,Billy,Smith,False
58,101.91384599999999,Nicole,James,True
59,12.7990102,Allison,Holt,False
60,19.17461281,Amanda,Johnson,False
61,171.89094599999999,Michael,Spencer,True
62,30.05366744,Brandi,King,False
63,23.47063099,Alexander,King,False
64,207.6385148,Nicole,Sampson,True
65,22.05563858,Savannah,Bell,False
66,103.7031099,Jessica,Harris MD,True
67,266.215602,Lauren,Gallagher,True
68,93.27791862,Jack,Townsend,False
69,228.99533280000003,Jamie,Nguyen,True
70,266.323001,Ann,Price,True
71,224.04529509999998,Michael,Rodriguez,True
72,219.8337855,Heather,Davidson,True
73,146.6406753,Marie,Green,True
74,147.3422789,Lori,Tapia,True
75,127.2410425,Kayla,Alvarado,True
76,200.36529119999997,Susan,Crosby,True
77,163.87310269999998,Nathan,Harris,True
78,4.582288435,Michael,Daniel,False
79,53.14943439,Ashley,Jones,False
80,91.35592502,John,Wright,False
81,294.21541329999997,Melissa,Jordan,True
82,232.6768105,Carrie,Jackson,True
83,183.1702424,Rebecca,Anderson,True
84,105.1162169,Paul,Powell,True
85,81.03527984,Shawn,Baxter,False
86,141.0101793,Sarah,Wright,True
87,235.62408399999998,Kimberly,Romero,True
88,186.50448369999998,Matthew,Washington,True
